company,domain,source_url,official_domain_state,official_domain_source,city,vertical,target_segment,website_live,fetch_state,pages_found,phone,mobile_phone,email,address,google_maps_search_url,registroimprese_url,D1_hits,D2_hits,D3_hits,D4_hits,D5_hits,contactability,observed_dimensions,high_value_hits,structure_hits,youth_growth_hits,commercial_gap_count,facebook_url,instagram_url,linkedin_url,tiktok_url,facebook_reputation_hits,instagram_reputation_hits,linkedin_reputation_hits,tiktok_reputation_hits,social_presence_count,social_reputation_channels,preliminary_score,decision
Studio Odontoiatrico Alberto Faucci,studiofaucci.it,https://www.studiofaucci.it/,,,Savona,dentale,first_visit_path,1,OK,3,019854961,,studio.faucci@gmail.com,"Via L. Corsi 5/1, 17100 Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Alberto%20Faucci%20Savona,,0,1,2,0,1,0,3,1,2,1,4,,,,,1,1,1,1,0,4,73,ESCALATE
Studio Dentistico Vesalici,studiovesalici.it,https://www.studiovesalici.it/,,,Savona,dentale,first_visit_path,1,OK,4,019853434,3534236691,studiovesalici@gmail.com,"Piazza Aurelio Saffi 3/3, 17100 Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Vesalici%20Savona,,0,1,5,0,2,4,3,1,3,1,3,https://www.facebook.com/DiegoVesaliciStudio/,https://www.instagram.com/graphicheer?igsh=MWdtcTVvNzVuNzNuZQ%3D%3D&utm_source=qr,,,0,1,1,1,2,3,90,ESCALATE
Studio Odontoiatrico Zecca-Cohen,cohenorthodontic.wixsite.com,https://cohenorthodontic.wixsite.com/odontoiatriasavona,,,Savona,dentale,first_visit_path,0,HTTP_404,0,019811396,3240868097,cohen.orthodontic@gmail.com,"Via Guidobono 18/1, 17100 Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Zecca-Cohen%20Savona,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
Studio Odontoiatrico Associato Platania,plataniadentistigenova.it,https://www.plataniadentistigenova.it/,,,Genova,dentale,first_visit_path,1,OK,6,010565017,3429382367,segreteria@platania3p.it,"Piazza Colombo 3/6, 16121 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Associato%20Platania%20Genova,,2,3,7,0,1,4,4,4,6,2,3,https://www.facebook.com/studiodentisticoassociatoplatania/,https://www.instagram.com/studiodentisticoplatania/,,,0,1,1,1,2,3,100,ESCALATE
Ge.O Genova Odontoiatrica,genovaodontoiatrica.it,https://www.genovaodontoiatrica.it/,,,Genova,dentale,first_visit_path,1,OK,6,0100997300,,info@genovaodontoiatrica.it,"Viale Brigata Bisagno 2/16, 16129 Genova",https://www.google.com/maps/search/Ge.O%20Genova%20Odontoiatrica%20Genova,,3,0,6,0,1,3,3,4,6,3,4,https://www.facebook.com/GeOdentisti/,,,,0,1,1,1,1,3,100,ESCALATE
Ambulatorio Dentistico Dott. Piccardo,dentista-genova-dottpiccardo.it,https://www.dentista-genova-dottpiccardo.it/,,,Genova,dentale,first_visit_path,1,OK,5,0105959492,,,"Via Maragliano 5, 16121 Genova",https://www.google.com/maps/search/Ambulatorio%20Dentistico%20Dott.%20Piccardo%20Genova,,3,3,7,3,2,3,5,6,4,3,2,https://www.facebook.com/dentistagenova,https://www.instagram.com/studio_dentistico_piccardo/,https://www.linkedin.com/in/dentistagenova/,,1,2,2,2,3,4,100,ESCALATE
Clindent Genova,clindent.it,https://www.clindent.it/centro-dentale/genova/,,,Genova,dentale,first_visit_path,1,OK,6,0105165117,,info.ge@clindent.it,"Via Brigata Liguria 40/46, 16121 Genova",https://www.google.com/maps/search/Clindent%20Genova%20Genova,,1,0,5,4,4,4,4,3,4,0,3,https://www.facebook.com/clindentitalia/,https://www.instagram.com/clindent_it/,,,1,3,2,2,2,4,100,ESCALATE
ABCDental Genova,abcdental.eu,https://www.abcdental.eu/,,,Genova,dentale,first_visit_path,1,OK,1,0100987762,3757926908,,"Via Bologna 55 rosso, Genova",https://www.google.com/maps/search/ABCDental%20Genova%20Genova,,0,1,2,1,1,3,4,3,1,0,4,https://www.facebook.com/ClinicheDentisticheAbcdental,https://www.instagram.com/abcdental.centriodontoiatrici/,,,0,0,0,0,2,0,80,ESCALATE
OdontoSalute Genova,odontosalute.it,https://www.odontosalute.it/studi-odontoiatrici/odontosalute-genova/,,,Genova,dentale,first_visit_path,0,HTTP_403,0,0100980640,,genova@odontosalute.it,"Via Edmondo de Amicis 2, 16122 Genova",https://www.google.com/maps/search/OdontoSalute%20Genova%20Genova,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
Studio Dentistico Fassio,studiodentisticofassio.com,https://studiodentisticofassio.com/,,,Genova,dentale,first_visit_path,0,HTTP_403,0,,3409419500,,"Via Odessa 28/7, 16129 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Fassio%20Genova,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
Centro Dentistico Primo Genova Sestri,centridentisticiprimo.it,https://www.centridentisticiprimo.it/centro-dentistico-a-genova-ge-sestri/,,,Genova,dentale,first_visit_path,1,OK,6,0100995400,,info.gesestri@centriprimo.it,"Via Sestri 223, 16154 Genova",https://www.google.com/maps/search/Centro%20Dentistico%20Primo%20Genova%20Sestri%20Genova,,1,4,8,2,3,3,5,4,3,2,2,https://it-it.facebook.com/centridentisticiprimo/,https://www.instagram.com/centri_dentistici_primo/,https://www.linkedin.com/company/2618457/,,1,1,1,1,3,4,100,ESCALATE
SDC Genova,sdcgenova.it,https://www.sdcgenova.it/,,,Genova,dentale,first_visit_path,1,OK,5,,3389712282,,,https://www.google.com/maps/search/SDC%20Genova%20Genova,,3,2,7,6,2,3,5,8,6,2,2,https://www.facebook.com/sdcgenova,https://www.instagram.com/dentista_a_genova/,,,1,1,1,1,2,4,100,ESCALATE
Studio Dentistico Pascuzzi,pascuzzistudiodontoiatrico.it,https://www.pascuzzistudiodontoiatrico.it/,,,Genova,dentale,first_visit_path,1,OK,6,010411083,3283974733,info@pascuzzistudiodontoiatrico.it,"Via Canepari 21/4, 16159 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Pascuzzi%20Genova,,2,1,5,1,5,4,5,6,5,3,0,,,,,2,3,3,3,0,4,100,ESCALATE
Studio Dentistico Del Buono,studiodelbuono.it,https://studiodelbuono.it/,,,Genova,dentale,first_visit_path,1,OK,5,010592808,3474535384,segreteria@studiodelbuono.eu,,https://www.google.com/maps/search/Studio%20Dentistico%20Del%20Buono%20Genova,,3,6,10,1,3,4,5,3,5,2,1,https://www.facebook.com/profile.php?id=61586444736507&locale=it_IT%20,https://www.instagram.com/studiodentisticodelbuono/,https://www.linkedin.com/in/vincenzo-del-buono-05b3b242/,,1,1,1,1,3,4,100,ESCALATE
Centro Odontoiatrico Dr. Bobbio,centroodontoiatrico.com,https://www.centroodontoiatrico.com/,,,Genova,dentale,first_visit_path,1,OK,4,010877192,3932002004,genova.dentista@gmail.com,,https://www.google.com/maps/search/Centro%20Odontoiatrico%20Dr.%20Bobbio%20Genova,,3,3,6,2,2,4,5,6,3,2,1,https://facebook.com/DentistaGenova1/?locale=it_IT,https://instagram.com/Dentista_italia_genova,https://linkedin.com/in/dentisti-centro-odontoiatrico-dr-bobbio-254033116,,1,2,2,2,3,4,100,ESCALATE
Studio Dentistico GPA,studiodentisticogpa.it,https://studiodentisticogpa.it/,,,Genova,dentale,first_visit_path,0,HTTP_403,0,010872182,3426471942,studiogpagenova@gmail.com,"Via Smirne 18R, Genova",https://www.google.com/maps/search/Studio%20Dentistico%20GPA%20Genova,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
HDental Genova,hdental.it,https://www.hdental.it/ambulatori-odontoiatrici/genova/,,,Genova,dentale,first_visit_path,1,OK,1,0108369244,,info.genova@hdental.it,"Via Lungo Bisagno Dalmazia 75/77, 16141 Genova",https://www.google.com/maps/search/HDental%20Genova%20Genova,,0,2,5,0,1,3,3,0,5,2,4,http://www.facebook.com/HDental.it,https://www.instagram.com/hdental_ambulatori/,http://www.linkedin.com/company/hdental,,0,1,1,1,3,3,93,SHORTLIST
Studio Odontoiatrico Marco Ronda,studiomarcoronda.it,https://studiomarcoronda.it/,,,Genova,dentale,first_visit_path,0,HTTP_403,0,010583435,3939336462,info@studiomarcoronda.it,"Piazza Brignole 3/8, 16122 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Marco%20Ronda%20Genova,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
Studio Odontoiatrico Fabio Garbarini,studiogarbarini.it,https://www.studiogarbarini.it/,,,Genova,dentale,first_visit_path,1,OK,6,010880205,,fabio.garbarini@studiogarbarini.it,"Via Palestro 8/6, 16122 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Fabio%20Garbarini%20Genova,,2,1,6,0,2,3,4,3,5,3,3,https://www.facebook.com/studiodentisticogarbarini/,,,,0,1,1,1,1,3,100,ESCALATE
Studio Dentistico Quinto al Mare,studioquintoalmare.it,https://www.studioquintoalmare.it/,,,Genova,dentale,first_visit_path,1,OK,4,0103200314,3939691588,info@studioquintoalmare.it,"Via Giuseppe Majorana 16R, 16166 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Quinto%20al%20Mare%20Genova,,2,0,4,0,0,3,2,3,5,1,4,https://www.facebook.com/studioservatoraso/,,,,0,1,1,1,1,3,98,ESCALATE
Dentalicum,dentalicum.it,https://dentalicum.it/,,,Genova,dentale,first_visit_path,1,OK,3,0104699788,3476149986,info@dentalicum.it,"Via Fiumara 7 int. 11, 16149 Genova",https://www.google.com/maps/search/Dentalicum%20Genova,,1,2,7,3,5,4,5,3,4,1,1,https://www.facebook.com/dentalicum,,,,3,3,2,2,1,4,100,ESCALATE
Studio Odontoiatrico Alessandro Leonardi,alessandroleonardi.it,https://alessandroleonardi.it/,,,Genova,dentale,first_visit_path,1,OK,6,0105740296,,info@alessandroleonardi.it,"Piazza della Vittoria 12, 16121 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Alessandro%20Leonardi%20Genova,,2,4,5,0,3,4,4,3,5,2,2,https://www.facebook.com/sudioleonardi/,https://www.instagram.com/studioleonardi/,https://www.linkedin.com/company/studio-dentistico-alessandro-leonardi/,,1,3,3,3,3,4,100,ESCALATE
Studio Odontoiatrico Melchiorre,studiomelchiorre.com,https://www.studiomelchiorre.com/,,,Genova,dentale,first_visit_path,1,OK,4,0109845146,3356791951,segreteria@studiomelchiorre.com,"Via G.T. Invrea 7/3, 16129 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Melchiorre%20Genova,,0,1,3,0,3,4,3,0,6,1,2,,,,,2,3,2,2,0,4,83,SHORTLIST
Studio Dentistico Enrico Figliomeno,studiodentisticofigliomeno.it,https://www.studiodentisticofigliomeno.it/,,,Genova,dentale,first_visit_path,1,OK,3,,,,Genova Prà,https://www.google.com/maps/search/Studio%20Dentistico%20Enrico%20Figliomeno%20Genova,,4,1,5,0,1,4,4,4,3,2,3,https://www.facebook.com/profile.php?id=100094466816658,https://www.instagram.com/studio_dott.figliomeno/,,,0,1,1,1,2,3,100,ESCALATE
Studio Dentistico Emanuele Muller,studiodentisticomuller.com,https://www.studiodentisticomuller.com/,,,Genova,dentale,first_visit_path,1,OK,4,010580666,,,"Via Fieschi 3, Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Emanuele%20Muller%20Genova,,0,2,4,0,4,3,3,5,4,1,3,,,,,2,3,3,3,0,4,100,ESCALATE
Studio Odontoiatrico Solimei,studiodentisticosolimei.it,https://www.studiodentisticosolimei.it/,,,Genova,dentale,first_visit_path,1,OK,5,010814285,,info@solimei.com,"Piazza Corvetto 1/1, 16122 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Solimei%20Genova,,4,2,9,1,5,4,5,6,6,2,2,https://www.facebook.com/StudioSolimei/,https://www.instagram.com/studiosolimei/,,,2,4,3,3,2,4,100,ESCALATE
Dentista.TV Genova Sampierdarena,dentista.tv,https://www.dentista.tv/sedi/studio-dentistico-genova-sampierdarena/,,,Genova,dentale,first_visit_path,1,OK,6,010468670,,,"Via Alfredo Carzino 43, 16149 Genova",https://www.google.com/maps/search/Dentista.TV%20Genova%20Sampierdarena%20Genova,,1,4,7,2,6,2,5,4,4,2,0,https://www.facebook.com/dentista.tv,https://www.instagram.com/dentistatv/,https://www.linkedin.com/company/dentista-tv/,,1,4,3,3,3,4,100,ESCALATE
Ambulatori Dentistici Dr. Piccardo - Genova Nervi,dentista.ge,https://www.dentista.ge/,,,Genova,dentale,first_visit_path,1,OK,1,,,,"Via Oberdan 207R, Genova Nervi",https://www.google.com/maps/search/Ambulatori%20Dentistici%20Dr.%20Piccardo%20-%20Genova%20Nervi%20Genova,,0,3,2,0,0,3,2,1,4,0,4,,,,,0,0,0,0,0,0,68,SHORTLIST
Ambulatori Dentistici Dr. Piccardo - Genova Rivarolo,dentista.ge,https://www.dentista.ge/,,,Genova,dentale,first_visit_path,1,OK,1,,,,"Via Rivarolo 57, Genova",https://www.google.com/maps/search/Ambulatori%20Dentistici%20Dr.%20Piccardo%20-%20Genova%20Rivarolo%20Genova,,0,3,2,0,0,3,2,1,4,0,4,,,,,0,0,0,0,0,0,68,SHORTLIST
Pesce & Gavazzi - Genova Nervi,pescegavazzi.com,https://www.pescegavazzi.com/dentista-genova-nervi/,,,Genova,dentale,first_visit_path,1,OK,6,0103728253,3663289353,nervi@pescegavazzi.com,"Viale Goffredo Franchini 24R, Genova Nervi",https://www.google.com/maps/search/Pesce%20%26%20Gavazzi%20-%20Genova%20Nervi%20Genova,,2,2,10,1,1,4,5,3,4,4,2,https://www.facebook.com/michelagavazziortodonzia,https://www.instagram.com/michelagavazzi_ortodonzia/,,,1,1,1,1,2,4,100,ESCALATE
Pesce & Gavazzi - Genova Sampierdarena,pescegavazzi.com,https://www.pescegavazzi.com/,,,Genova,dentale,first_visit_path,1,OK,6,010415195,3713334339,sampierdarena@pescegavazzi.com,"Via Antonio Cantore 44/3, Genova Sampierdarena",https://www.google.com/maps/search/Pesce%20%26%20Gavazzi%20-%20Genova%20Sampierdarena%20Genova,,2,2,10,1,1,4,5,3,4,4,2,https://www.facebook.com/michelagavazziortodonzia,https://www.instagram.com/michelagavazzi_ortodonzia/,,,1,1,1,1,2,4,100,ESCALATE
Studio Dentistico Di Bartolo,studiodentisticosampierdarena.it,https://www.studiodentisticosampierdarena.it/,,,Genova,dentale,first_visit_path,1,OK,3,010415174,,luanadibartolo73@gmail.com,"Via A. Cantore 35/1, 16149 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Di%20Bartolo%20Genova,,3,2,5,0,2,3,4,1,4,0,3,,,,,0,1,1,1,0,3,92,ESCALATE
Studio Dentistico Sadeghi,studiosadeghi.it,https://www.studiosadeghi.it/,,,Genova,dentale,first_visit_path,1,OK,1,010543682,,info@studiosadeghi.it,16121 Genova,https://www.google.com/maps/search/Studio%20Dentistico%20Sadeghi%20Genova,,0,0,2,0,1,1,2,1,1,1,5,,,,,0,0,0,0,0,0,55,SHORTLIST
Studio Medico Dentistico Canevello,studiomedicodentisticocanevello.it,https://studiomedicodentisticocanevello.it/,,,Genova,dentale,first_visit_path,1,OK,1,010364617,3882585154,segreteria@studiomedicodentisticocanevello.it,"Via Albaro 17/2, 16145 Genova",https://www.google.com/maps/search/Studio%20Medico%20Dentistico%20Canevello%20Genova,,1,0,4,0,3,2,3,3,4,1,2,https://www.facebook.com/riccardocanevellostudiodentistico,https://www.instagram.com/studio_dentistico_canevello/,,,0,2,2,2,2,3,95,ESCALATE
Studio Dentistico Salusciev,studiodentisticosalusciev.it,https://www.studiodentisticosalusciev.it/,,,Genova,dentale,first_visit_path,1,OK,5,0106454179,3469667053,drproscovia@gmail.com,"Via Carlo Rota 4/6, Genova Sampierdarena",https://www.google.com/maps/search/Studio%20Dentistico%20Salusciev%20Genova,,0,5,3,0,2,3,3,1,4,0,4,https://www.facebook.com/Studio-Dentistico-Drsse-Salusciev-e-Strassera-2250529601901720/,,,,0,1,1,1,1,3,94,ESCALATE
Studio Dentistico Luca Giachin,studiodentisticogiachin.eu,https://www.studiodentisticogiachin.eu/,,,Genova,dentale,first_visit_path,1,OK,6,0103724455,3356694455,luca.giachin@gmail.com,"Via G. Oberdan 40/2, 16167 Genova Nervi",https://www.google.com/maps/search/Studio%20Dentistico%20Luca%20Giachin%20Genova,,3,0,5,0,1,2,3,1,6,2,4,https://www.facebook.com/studiodentisticogiachin,https://privacycenter.instagram.com/policy/,,,0,1,1,1,2,3,100,ESCALATE
Studio Dentistico Paolo Zuppa - Albaro,studiozuppa.it,https://www.studiozuppa.it/contattaci.html,,,Genova,dentale,first_visit_path,1,OK,1,010311163,,paolo.zuppa@fastwebnet.it,"Via G. Bovio 13/3, Genova Albaro",https://www.google.com/maps/search/Studio%20Dentistico%20Paolo%20Zuppa%20-%20Albaro%20Genova,,0,0,4,0,1,1,2,3,3,0,5,,,,,0,1,1,1,0,3,76,ESCALATE
Centro di Ortodonzia Genova Castelletto,centrodiortodonzia.com,https://www.centrodiortodonzia.com/,,,Genova,dentale,first_visit_path,1,OK,1,,3392251983,info@centrodiortodonzia.com,"Corso Paganini 6R, 16125 Genova",https://www.google.com/maps/search/Centro%20di%20Ortodonzia%20Genova%20Castelletto%20Genova,,2,3,6,0,2,4,4,1,5,4,2,https://www.facebook.com/centrodiortodonziagenova,https://www.instagram.com/centrodiortodonziagenova/,,,1,2,2,2,2,4,100,ESCALATE
Studio Dentistico Bardoneschi,studiobardoneschi.com,https://studiobardoneschi.com/studio-dentistico-genova/,,,Genova,dentale,first_visit_path,1,OK,6,010880087,,info@studiobardoneschi.it,"Corso Sardegna 99/1, 16142 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Bardoneschi%20Genova,,1,3,7,2,3,3,5,4,5,2,2,https://www.facebook.com/dottsimonebardoneschi/?locale=it_IT,,,,1,1,1,1,1,4,100,ESCALATE
Studio Dentistico Dottor Risso,dottorisso.com,https://www.dottorisso.com/,,,Genova,dentale,first_visit_path,1,OK,6,0106048022,,studiodentisticorisso@gmail.com,"Via G. Biancheri 15/3, Genova Sestri Ponente",https://www.google.com/maps/search/Studio%20Dentistico%20Dottor%20Risso%20Genova,,1,4,6,2,3,4,5,5,6,2,1,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dottorisso.com%2Fpf%2Fsala-visita%2F,,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.dottorisso.com%2Fpf%2Fsala-visita%2F&title=Sala+Visita&summary=,,1,2,2,2,2,4,100,ESCALATE
