company,domain,city,vertical,target_segment,phone,mobile_phone,email,address,google_url,review_portal_url,source_url,vat_id,notes
Studio Odontoiatrico Alberto Faucci,https://www.studiofaucci.it/,Savona,dentale,first_visit_path,019854961,,studio.faucci@gmail.com,"Via L. Corsi 5/1, 17100 Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Alberto%20Faucci%20Savona,,https://www.studiofaucci.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Vesalici,https://www.studiovesalici.it/,Savona,dentale,first_visit_path,019853434,3534236691,studiovesalici@gmail.com,"Piazza Aurelio Saffi 3/3, 17100 Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Vesalici%20Savona,,https://www.studiovesalici.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; WATCHLIST_WEAK storico
Studio Odontoiatrico Zecca-Cohen,https://cohenorthodontic.wixsite.com/odontoiatriasavona,Savona,dentale,first_visit_path,,,,"Via Bartolomeo Guidobono 18/1, Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Zecca-Cohen%20Savona,,https://cohenorthodontic.wixsite.com/odontoiatriasavona,,"Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; caso Signal già confermato, usare solo come regression/control"
Studio Odontoiatrico Associato Platania,https://www.plataniadentistigenova.it/,Genova,dentale,first_visit_path,010565017,3429382367,segreteria@platania3p.it,"Piazza Colombo 3/6, 16121 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Associato%20Platania%20Genova,,https://www.plataniadentistigenova.it/,01622500997,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Ge.O Genova Odontoiatrica,https://www.genovaodontoiatrica.it/,Genova,dentale,first_visit_path,0100997300,,info@genovaodontoiatrica.it,"Viale Brigata Bisagno 2/16, 16129 Genova",https://www.google.com/maps/search/Ge.O%20Genova%20Odontoiatrica%20Genova,,https://www.genovaodontoiatrica.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Ambulatorio Dentistico Dott. Piccardo,https://www.dentista-genova-dottpiccardo.it/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/Ambulatorio%20Dentistico%20Dott.%20Piccardo%20Genova,,https://www.dentista-genova-dottpiccardo.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Clindent Genova,https://www.clindent.it/centro-dentale/genova/,Genova,dentale,first_visit_path,800010222,,info@clindent.it,,https://www.google.com/maps/search/Clindent%20Genova%20Genova,,https://www.clindent.it/centro-dentale/genova/,02222560993,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
ABCDental Genova,https://www.abcdental.eu/,Genova,dentale,first_visit_path,0100987762,3757926908,,"Via Bologna 55 rosso, Genova",https://www.google.com/maps/search/ABCDental%20Genova%20Genova,,https://www.abcdental.eu/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; verificare sede specifica tra San Teodoro e Certosa
OdontoSalute Genova,https://www.odontosalute.it/studi-odontoiatrici/odontosalute-genova/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/OdontoSalute%20Genova%20Genova,,https://www.odontosalute.it/studi-odontoiatrici/odontosalute-genova/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
Studio Dentistico Fassio,https://studiodentisticofassio.com/,Genova,dentale,first_visit_path,,3409419500,,"Via Odessa 28/7, 16129 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Fassio%20Genova,,https://studiodentisticofassio.com/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Centro Dentistico Primo Genova Sestri,https://www.centridentisticiprimo.it/centro-dentistico-a-genova-ge-sestri/,Genova,dentale,first_visit_path,0100995400,,info.gesestri@centriprimo.it,"Via Sestri 223, 16154 Genova",https://www.google.com/maps/search/Centro%20Dentistico%20Primo%20Genova%20Sestri%20Genova,,https://www.centridentisticiprimo.it/centro-dentistico-a-genova-ge-sestri/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
SDC Genova,https://www.sdcgenova.it/,Genova,dentale,first_visit_path,,3389712282,,,https://www.google.com/maps/search/SDC%20Genova%20Genova,,https://www.sdcgenova.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Pascuzzi,https://www.pascuzzistudiodontoiatrico.it/,Genova,dentale,first_visit_path,010411083,,,,https://www.google.com/maps/search/Studio%20Dentistico%20Pascuzzi%20Genova,,https://www.pascuzzistudiodontoiatrico.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Del Buono,https://studiodelbuono.it/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/Studio%20Dentistico%20Del%20Buono%20Genova,,https://studiodelbuono.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Centro Odontoiatrico Dr. Bobbio,https://www.centroodontoiatrico.com/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/Centro%20Odontoiatrico%20Dr.%20Bobbio%20Genova,,https://www.centroodontoiatrico.com/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico GPA,https://studiodentisticogpa.it/,Genova,dentale,first_visit_path,010872182,3426471942,studiogpagenova@gmail.com,"Via Smirne 18R, Genova",https://www.google.com/maps/search/Studio%20Dentistico%20GPA%20Genova,,https://studiodentisticogpa.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
HDental Genova,https://www.hdental.it/ambulatori-odontoiatrici/genova/,Genova,dentale,first_visit_path,,,,"Centro Commerciale Bisagno, Genova",https://www.google.com/maps/search/HDental%20Genova%20Genova,,https://www.hdental.it/ambulatori-odontoiatrici/genova/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
Studio Odontoiatrico Marco Ronda,https://studiomarcoronda.it/,Genova,dentale,first_visit_path,010583435,,info@studiomarcoronda.it,"Piazza Brignole 3/8, 16122 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Marco%20Ronda%20Genova,,https://studiomarcoronda.it/,02475090995,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Odontoiatrico Fabio Garbarini,https://www.studiogarbarini.it/,Genova,dentale,first_visit_path,010880205,,,"Via Palestro 8/6, 16122 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Fabio%20Garbarini%20Genova,,https://www.studiogarbarini.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Quinto al Mare,https://www.studioquintoalmare.it/,Genova,dentale,first_visit_path,0103200314,3939691588,info@studioquintoalmare.it,"Via Giuseppe Majorana 16R, 16166 Genova",https://www.google.com/maps/search/Studio%20Dentistico%20Quinto%20al%20Mare%20Genova,,https://www.studioquintoalmare.it/,01708730997,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Dentalicum,https://dentalicum.it/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/Dentalicum%20Genova,,https://dentalicum.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Odontoiatrico Alessandro Leonardi,https://alessandroleonardi.it/,Genova,dentale,first_visit_path,0105740296,,info@alessandroleonardi.it,"Piazza della Vittoria 12, 16121 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Alessandro%20Leonardi%20Genova,,https://alessandroleonardi.it/,01276000997,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Odontoiatrico Melchiorre,https://www.studiomelchiorre.com/,Genova,dentale,first_visit_path,0109845146,3356791951,segreteria@studiomelchiorre.com,"Via G.T. Invrea 7/3, 16129 Genova",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Melchiorre%20Genova,,https://www.studiomelchiorre.com/,01836940062,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Enrico Figliomeno,https://www.studiodentisticofigliomeno.it/,Genova,dentale,first_visit_path,,,,Genova Prà,https://www.google.com/maps/search/Studio%20Dentistico%20Enrico%20Figliomeno%20Genova,,https://www.studiodentisticofigliomeno.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Emanuele Muller,https://www.studiodentisticomuller.com/,Genova,dentale,first_visit_path,010580666,,,,https://www.google.com/maps/search/Studio%20Dentistico%20Emanuele%20Muller%20Genova,,https://www.studiodentisticomuller.com/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Odontoiatrico Solimei,https://www.studiodentisticosolimei.it/,Genova,dentale,first_visit_path,,,,,https://www.google.com/maps/search/Studio%20Odontoiatrico%20Solimei%20Genova,,https://www.studiodentisticosolimei.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
